customer_id,first_name,last_name,email,phone,address,city,state,zip_code,country,registration_date,customer_segment,created_at
CUST0001,Hannah,Hobbs,kevin68@example.net,646.845.8137x647,74943 Cynthia Dale,Hardingmouth,ID,68177,USA,2025-01-20,Gold,2026-02-07 10:35:18.054936
CUST0002,Lisa,Warren,ryan31@example.org,(499)424-7572x22726,96489 Smith Crossroad,Lake Christopher,NC,68717,USA,2024-09-14,Bronze,2026-02-07 10:35:18.055352
CUST0003,Andrew,Miller,seanwillis@example.org,667-735-5411,5731 House Island Suite 704,North Kristinatown,MD,40822,USA,2024-06-12,Gold,2026-02-07 10:35:18.055799
CUST0004,Ashley,Johnson,jeremyford@example.org,+1-495-409-2676x189,84476 Acosta Pines,West Jamesburgh,ND,94934,USA,2025-07-15,Platinum,2026-02-07 10:35:18.056397
CUST0005,Carl,Garcia,michael85@example.org,2874102752,797 Kathleen Extension Apt. 213,Georgeview,WA,15485,USA,2025-05-12,Silver,2026-02-07 10:35:18.056806
CUST0006,Timothy,Huang,emilyfrancis@example.org,(428)309-3039x67209,84809 Beasley Inlet,Byrdville,SC,92425,USA,2025-07-11,Platinum,2026-02-07 10:35:18.057226
CUST0007,Jeremy,Ruiz,jgarcia@example.net,+1-258-322-6790x48360,8859 Curtis Route Apt. 209,New Alexander,NH,36430,USA,2025-09-01,Bronze,2026-02-07 10:35:18.057631
CUST0008,Rebecca,Dominguez,daviskatie@example.com,857.982.3425,0051 Brown Turnpike,South Edwardton,NV,62250,USA,2025-09-04,Platinum,2026-02-07 10:35:18.058019
CUST0009,Teresa,Thompson,denise23@example.com,584.551.9444x3485,107 Scott Brook Apt. 735,South Sara,AK,71710,USA,2025-09-20,Bronze,2026-02-07 10:35:18.058364
CUST0010,Nicholas,Green,mbrown@example.net,(775)461-1553x920,04817 Edward Drive,West Jillmouth,GA,20081,USA,2025-02-12,Platinum,2026-02-07 10:35:18.058670
CUST0011,Candice,Smith,john05@example.org,2992671497,63511 Parks Circle,Fletcherstad,AK,44626,USA,2024-08-15,Gold,2026-02-07 10:35:18.058991
