customer_id,first_name,last_name,email,phone,address,city,state,zip_code,country,registration_date,customer_segment,created_at
CUST0001,Amy,Bates,bartonjennifer@example.com,+1-715-314-5513,99178 William Expressway,Jillianburgh,AR,21106,USA,2025-01-29,Gold,2026-02-06 11:20:29.796331
CUST0002,Allison,Pena,yrich@example.com,404.767.0687,16006 Webb Manor Suite 173,Lake Melissaville,OH,03037,USA,2025-01-28,Platinum,2026-02-06 11:20:29.796683
CUST0003,Julian,Gibson,egarcia@example.org,253.241.9103,56631 Eileen Brooks,Alexanderhaven,NE,39449,USA,2025-08-07,Bronze,2026-02-06 11:20:29.796959
CUST0004,Carolyn,Guerra,mackenziemckee@example.org,269-786-2256x14191,15176 Houston Fort,Gardnerbury,WY,38440,USA,2025-08-27,Silver,2026-02-06 11:20:29.797288
CUST0005,Zachary,Stephens,rachelgomez@example.net,786-552-8501x2443,157 Rosales Turnpike Apt. 296,South Jessica,MD,28180,USA,2024-08-06,Gold,2026-02-06 11:20:29.797614
CUST0006,Amy,Chavez,sherri63@example.net,001-369-545-9593,677 Miller Extensions Suite 659,Lake Tara,VA,19001,USA,2026-01-11,Silver,2026-02-06 11:20:29.797877
CUST0007,Tracy,Estes,debbie77@example.net,517.687.9918,807 Sandra Ford,Wendyborough,NC,56034,USA,2025-10-31,Bronze,2026-02-06 11:20:29.798108
CUST0008,Steven,Jones,whitejesse@example.com,(608)972-4379x16022,96952 Richard Road Apt. 628,Fisherville,MA,78779,USA,2025-06-27,Gold,2026-02-06 11:20:29.798412
CUST0009,Anna,Nguyen,hansendwayne@example.org,+1-385-294-0081,90939 Anderson Rapid,Hendrixshire,WY,03330,USA,2025-02-21,Gold,2026-02-06 11:20:29.798713
CUST0010,April,Franklin,evansjamie@example.net,9625689889,3248 Jennifer Stravenue Apt. 817,Butlerland,AZ,75257,USA,2025-05-01,Gold,2026-02-06 11:20:29.799003
CUST0011,Justin,Butler,laura04@example.org,892.340.0438x15239,294 Woods Shoal,New Luis,MI,36053,USA,2024-02-29,Bronze,2026-02-06 11:20:29.799246
CUST0012,David,Hancock,williamscarol@example.net,(736)911-2326,83042 Ronald Rapid,Teresafurt,WA,76889,USA,2025-05-26,Silver,2026-02-06 11:20:29.799748
CUST0013,Whitney,Douglas,joshuawilliams@example.org,(692)264-0064x716,0590 Peters Forest,East Laurieburgh,NE,33452,USA,2024-12-07,Gold,2026-02-06 11:20:29.800071
CUST0014,William,Torres,ricardogreene@example.net,(371)584-4082x448,33960 Sarah Spring Suite 802,Justinchester,PW,93375,USA,2025-01-14,Platinum,2026-02-06 11:20:29.800360
CUST0015,Alexa,Scott,deniserobinson@example.com,001-687-891-5186x66371,099 Hawkins Groves Apt. 458,North Cindyville,MT,26629,USA,2026-01-18,Gold,2026-02-06 11:20:29.800654
CUST0016,Margaret,House,michaelhudson@example.org,603.947.9123,1752 Joshua Crossing,North Stephanieport,NH,98192,USA,2024-10-12,Bronze,2026-02-06 11:20:29.800926
CUST0017,Jennifer,Harris,ryanlopez@example.com,+1-731-233-8551x54111,28227 Thompson Dam,South Mary,NH,27712,USA,2024-03-02,Gold,2026-02-06 11:20:29.801209
CUST0018,Deborah,Russell,gregoryscott@example.org,786-237-1796x779,948 Cantu Estate Apt. 656,New Allen,GU,37978,USA,2025-05-16,Silver,2026-02-06 11:20:29.801497
CUST0019,Victoria,Chen,pmiller@example.com,569.642.0110,63130 Miranda Orchard,Jeffreyfort,NM,77259,USA,2024-02-14,Silver,2026-02-06 11:20:29.801765
CUST0020,Robert,Williams,hperkins@example.com,(780)646-9110x185,0177 Johnson Estate Suite 030,East Patrick,IA,32291,USA,2025-01-28,Bronze,2026-02-06 11:20:29.802020
CUST0021,Heather,Riddle,barrycallahan@example.net,+1-297-486-6031x64682,031 Leblanc Cliff Apt. 076,North Cynthia,GU,08200,USA,2024-04-18,Silver,2026-02-06 11:20:29.802320
